id,alpha_bin,beta_bin,gamma_bin,delta_bin,theta_bin,alpha_beta,alpha_gamma,alpha_delta,alpha_theta,beta_alpha,beta_gamma,beta_delta,beta_theta,gamma_alpha,gamma_beta,gamma_delta,gamma_theta,delta_alpha,delta_beta,delta_gamma,delta_theta,theta_alpha,theta_beta,theta_gamma,theta_delta,min_att,max_att,mean_att_difference,sd_att_difference,min_med,max_med,mean_med_difference,sd_med_difference,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_temp,mean_temp_difference,max_temp,max_temp_difference,min_temp,min_temp_difference,difference_BVPpeaks_ampl,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,arousal
1.1,0.446908637892778,0.199339550341056,0.209078859351885,1.10137721909292,0.577110839978774,2.24194665397885,2.13751232084455,0.405772545632317,0.774389609297956,0.446040943135409,0.953418011553059,0.180991168952294,0.345409471685521,0.46783356065283,1.04885788592462,0.18983401483833,0.362285448250417,2.46443484351978,5.52513145137805,5.26775984194212,1.90843273561355,1.29133964091612,2.89511458710215,2.76025439285319,0.523990173370458,57,81,-27.4333333333333,1.87020047804948,48,77,-11.5666666666667,1.43078904277523,3.22573131608454,324.767921532699,0,0,0,0,30.854,-0.0339999999999989,30.87,0.0199999999999996,30.83,-0.0799999999999983,-2.76860452060758,3.84802650682151,0.322130708761685,10.599321460633,34.6322385613936,-3.70166666666665,0.20551091954023,low
1.2,0.380301235480163,0.146596560464396,0.227137590412677,1.22474968943538,0.619761398755771,2.59420298999803,1.67432099103108,0.310513436958277,0.613625237460179,0.385474846746962,0.645408627422926,0.119695119524364,0.236537094370031,0.597257040529715,1.54940600033956,0.185456336402411,0.366491993319811,3.22047254958041,8.35455951732808,5.39210479080185,1.97616323297027,1.62965917787059,4.2276667119096,2.72857256973517,0.506031072391196,30,60,-3.53333333333333,0.00770237756462677,26,84,-1.66666666666666,-6.28009391019527,16.4176330617593,414.391810485757,0,0,0,0,31.016,-0.196000000000002,31.03,-0.140000000000001,31.01,-0.260000000000002,-14.510875634712,10.7699569542128,2.89297028371969,22.3156067366711,43.0798278168511,-24.3366666666667,-1.97751685823755,low
1.3,0.459711032196799,0.162637788932392,0.18244420044071,1.13843192498918,0.539477039638743,2.82659420799122,2.51973497149445,0.403810734841407,0.852141979025912,0.353782653757955,0.89143852498203,0.142861233388143,0.301473050718343,0.396867135358646,1.12178234614682,0.160259209563579,0.338187146134861,2.47640766754936,6.99979956972007,6.23989100360111,2.11025093070045,1.17351336351614,3.31704607631503,2.9569426615677,0.473877293667665,29,66,-2.93333333333334,-3.05043460919081,41,74,-1.46666666666666,-0.536289172891109,37.9578675796808,335.141923930344,0,0,0,0,30.986,-0.165999999999997,31.01,-0.120000000000001,30.97,-0.219999999999999,-6.66059273432558,7.6006596421334,2.04493243912139,14.5229098883078,38.003298210667,5.29133333333334,0.127798697318006,high
1.4,0.583387351164537,0.185612884256248,0.20599160866538,1.45375969541193,0.775288477087983,3.14303262676066,2.83209279710133,0.401295587575932,0.752477778795018,0.318164053241357,0.90107012348141,0.127677830691031,0.239411380075476,0.353095774624161,1.10979154001507,0.141695776348382,0.265696724191095,2.49192872027476,7.83221327138549,7.05737337958007,1.87512098834786,1.32894289795687,4.1769108873803,3.76368960906262,0.533298921090465,37,75,-13.8333333333333,-2.49057096159969,40,61,-1.86666666666667,2.88576830742548,-131.221605191732,2493.22180487244,22.4442199703219,39.3720788418331,30.9081494060775,61.816298812155,30.89,-0.0700000000000003,30.91,-0.0199999999999996,30.85,-0.100000000000001,-6.68288943793817,16.3772859751628,16.1305840567342,16.6239878935914,32.7545719503255,15.1423333333333,0.185484252873563,low
1.5,0.49949769788122,0.167489212702588,0.230562232132913,0.858900293678501,0.584048247616579,2.98226787159232,2.16643330202178,0.581554927338504,0.855233621399605,0.335315284560964,0.726438199149782,0.195004255948341,0.286772905125712,0.461588177705157,1.37657959227694,0.268438879145635,0.394765728814026,1.71952803250506,5.1280932056422,3.72524279337895,1.47059818633744,1.16927114998529,3.48707978378094,2.53314795842143,0.679995398668703,26,44,7.46666666666667,3.2864373023644,23,60,4.53333333333334,-0.536289172891109,90.8446488658561,431.296892940881,0,0,0,0,30.634,0.186,30.65,0.240000000000002,30.61,0.140000000000001,-7.36632053985178,10.5962376866526,6.42697526520935,15.5590579457079,31.7887130599579,10.7443333333333,0.156195363984674,high
1.6,0.41151166205113,0.180661626272925,0.250038778816255,0.262932436135238,0.538291777189023,2.27780337496498,1.64579136084142,1.56508519108487,0.764476961175326,0.439019456635661,0.722534428972263,0.6871028501786,0.335620260105673,0.607610432156325,1.38401709302961,0.950962089316545,0.464504176753294,0.638942854801934,1.45538619107761,1.05156663050438,0.48845709200367,1.30808389367624,2.97955790775307,2.15283317146816,2.04726273068932,10,56,10.5666666666667,-7.78735818658339,16,53,18.6333333333333,0.0266974277280809,132.792476806635,342.241782096236,7.56099820204434,7.56099820204434,7.56099820204434,7.56099820204434,30.43,0.390000000000001,30.45,0.440000000000001,30.41,0.34,-7.44223006329809,8.46098118642013,4.8306082680443,12.1833533618766,33.8439247456805,-7.27166666666666,-0.000466858237549467,low
2.1,0.50609458312203,0.161321029916489,0.217693887650145,1.26697191773234,0.655906811831277,3.1371891400893,2.32479923338671,0.399452092062033,0.771595254071269,0.318756681648954,0.74104528913438,0.127328023343426,0.245951142763839,0.430144670403742,1.34944518865791,0.171822188482108,0.331897586247578,2.50342912171982,7.85373065364272,5.81997010301222,1.93163402922282,1.29601626594198,4.06584815489227,3.01297762151863,0.517696408776948,27,69,-6,-0.450010067073913,38,63,4,1.61946354602957,-10.3873728458351,200.866333322154,0,0,0,0,31.402,0.573999999999998,31.43,0.57,31.37,0.579999999999998,4.73319490584585,1.43144843509834,-0.00180755833034335,3.05041195326411,12.883035915885,-1.77199999999999,4.95158559386974,high
2.2,0.403833028706975,0.156605209828447,0.243586345175597,1.00423339490939,0.62191271276962,2.57866918443743,1.6578639841895,0.40213065085673,0.649340366284762,0.387796932632971,0.642914567791366,0.15594503291994,0.251812202280001,0.603185791799971,1.55541661380508,0.242559495044054,0.391672882985157,2.4867539887087,6.41251587996,4.12269987541975,1.6147497458882,1.54002438770526,3.97121343185767,2.55315096715004,0.619291009363153,50,81,-20.2,3.09614941479771,43,57,5.7,5.58723146284631,16.9209624363635,456.267470932855,0,0,0,0,31.246,0.73,31.27,0.73,31.23,0.719999999999999,2.46377551497496,1.39429091052403,0.308712884423391,3.79147989325445,13.9429091052403,-2.38499999999999,4.76201559386974,high
2.3,0.319990529624324,0.157991395591236,0.198709252259182,1.02482782865453,0.539354616086857,2.02536681460946,1.61034539653419,0.312238329870913,0.593284121578359,0.493737723353004,0.795088269896782,0.154163842134009,0.292926751489586,0.620984791307638,1.25772198869167,0.193895254113134,0.368420416424473,3.20268174766828,6.48660532948276,5.15742380892169,1.90010022736042,1.68553305849417,3.41382272160128,2.71429040145228,0.526288027126431,27,44,4.59999999999999,7.95559556255495,27,78,4,-7.06770703720249,28.305846711848,483.789597634499,3.50818935065413,3.50818935065413,3.50818935065413,3.50818935065413,31.596,0.379999999999999,31.61,0.390000000000001,31.57,0.379999999999999,10.8467121464844,0.800509708690187,-0.130665432137029,2.21022257188401,11.2071359216626,-3.74799999999999,5.01055448275863,high
2.4,0.317900309731186,0.157793000977332,0.220114344815456,0.82282937638614,0.578272181477926,2.01466673275866,1.44425075974814,0.386350218957182,0.549741661303348,0.496360010189234,0.716868321824397,0.191768798618199,0.272869776605976,0.692400535883662,1.39495632538908,0.267509098644723,0.380641420884013,2.58832517993429,5.21461263357519,3.73819060759535,1.42291018441036,1.81903623172594,3.66475178174093,2.62714445967959,0.702785046418364,29,56,-3.7,6.29303409274364,13,63,12,-6.34839814076543,40.2755421997453,251.288263723756,2.75930982579595,2.75930982579595,2.75930982579595,2.75930982579595,31.52,0.455999999999996,31.53,0.469999999999999,31.51,0.439999999999998,-2.47064244630652,1.53625222298828,0.539395511657738,2.572826826568,19.9712788988476,-2.133,5.04386003831418,high
2.5,0.38179551679726,0.159011456865061,0.239974693350737,0.903216012723204,0.491820121005741,2.40105665544122,1.59098241346325,0.422706762744543,0.776290965925738,0.416483300272746,0.662617606235074,0.176050307595456,0.323312223460669,0.628542460015758,1.50916605684823,0.265689148520753,0.487931833410972,2.36570617774652,5.68019456289669,3.76379692421609,1.83647633381933,1.28817678408441,3.09298544081074,2.04946660890995,0.544521038242999,27,78,-13.8,-5.89737755599049,27,74,9.40000000000001,-2.35499958870869,30.4289746670052,233.585682594554,0,0,0,0,31.484,0.492000000000001,31.51,0.489999999999998,31.47,0.48,-0.42489516540048,1.19874024927149,-0.0212714050032414,2.44468983597142,15.5836232405293,-6.59699999999999,4.7430022605364,high
2.6,0.467839505161557,0.109849303306662,0.18180386066405,0.975348174749382,0.554854683332343,4.25892100430994,2.57331996940408,0.479664100752298,0.843174833366837,0.234801255761265,0.604218760291616,0.112625733200237,0.197978509700828,0.388603054377096,1.65502971062561,0.186398934627386,0.327660315620252,2.08479225030936,8.87896550446513,5.36483752977995,1.75784435825907,1.18599365211952,5.05105327599006,3.05194114858562,0.568878578641841,50,81,-22,3.83047427640179,26,64,10.3,-2.53525723483953,54.1416845323593,174.908319196398,0,0,0,0,31.64,0.335999999999999,31.65,0.350000000000001,31.63,0.32,4.83809595289898,0.817046452658309,0.151920786225046,2.13813425087328,10.621603884558,-10.942,5.01138559386974,high
3.1,0.463925549336332,0.187536865278272,0.271928538254636,1.17345191955035,0.755539821785178,2.4737832140254,1.70605686447631,0.395351135915395,0.614031896082162,0.404239140410681,0.689654960387645,0.159816403342826,0.248215725856994,0.586146933799278,1.45000044578511,0.23173385609087,0.359912913143516,2.5293970578448,6.25717998330171,4.31529521352231,1.55313047137309,1.62857989361874,4.02875360353331,2.77844990685635,0.643860910871141,21,67,6.83333333333333,-3.68425762523603,50,74,-17.9666666666667,1.29863570844244,45.8868922648678,76.2938570359189,0.426823085226988,1.28710496777551,0.856964026501248,1.7139280530025,32.497,-0.324666666666666,32.5,-0.289999999999999,32.49,-0.340000000000003,-122.889247671469,22.6090399113204,3.68885947579546,56.208562387718,248.699439024525,-2.47533333333334,0.130024367816092,low
3.2,0.418467289619556,0.173615516638978,0.282040552481337,0.950050040412748,0.888832305320474,2.41031042455573,1.4837131963399,0.4404686825104,0.470805670669986,0.414884319385675,0.615569339627025,0.182743549554032,0.195329890238833,0.673984704366619,1.62451235892597,0.296869154764526,0.317315820760638,2.27030896793982,5.4721493723877,3.36848737550114,1.06887433627899,2.12401859683834,5.11954416590969,3.15143442140041,0.935563672976975,44,81,-17.8666666666667,-1.05699181486316,35,53,-3.06666666666667,4.35649633621581,39.0160353999047,89.1613265638105,0,0,0,0,32.392,-0.219666666666662,32.41,-0.199999999999996,32.37,-0.219999999999999,-68.2159260297368,26.3423451119837,9.47544078659764,54.3775844207179,237.081106007854,-15.6103333333333,-0.212092298850573,low
3.3,0.416049046495335,0.159608297235354,0.329062363546265,1.06826982123568,0.568296120139754,2.60668808390231,1.26434710433495,0.389460638337689,0.732099044408435,0.383628561535818,0.485039660917994,0.149408224460309,0.280854103308155,0.790922047095606,2.06168707545973,0.308033005337206,0.579033274880256,2.56765357410248,6.69307197520211,3.24640536135176,1.87977672797233,1.36593539854712,3.56056752677312,1.72701646586165,0.531978072246206,43,70,-11.5666666666667,-0.488597486328608,50,64,-11.4666666666667,5.55720542118543,24.2619718282319,205.584117535274,0,0,0,0,32.335,-0.162666666666667,32.34,-0.130000000000003,32.31,-0.160000000000004,-43.1383707072801,23.8056263113421,5.26505513134979,40.7754169023941,214.250636802079,-8.46333333333334,-0.424268965517244,high
